businessdate,namedpnl,namedpnlid,businessarea,bofc_completedon,fobo_completedon,bofc_status,fobo_status,vpsignoffutc,vpsignoffby,vpsignoffcount,vpsignoff_bofc_hours,sla_bofc,feed_source,feed_available_at,feed_sla,feed_on_time,issue_type,namedpnlname,masterbookid,masterbookname,feedname,region,syey_id,msbk_id,avg_deltimepc,max_deltimepc,min_deltimepc,avg_completedon,max_completedon,min_completedon,duration_avg,duration_max,duration_min,delay_flag
2025-10-20,Beta Trading Book,PNL002,Credit Trading,2025-10-20 07:15:00,2025-10-20 08:00:00,Complete,Complete,2025-10-20 10:15:00,Sarah Lee,1,3.66,11:00:00,Bloomberg,2025-10-20 07:34:00,06:00:00,N,feed_delayed_recovered,Beta Trading Book,BK-CT-001,Credit Flow Book,Bloomberg B-PIPE,EMEA,SYEY-10002,BK-CT-001,1:58:00 PM,2:40:00 PM,12:50:00 PM,4:50:00 PM,5:07:00 PM,3:59:00 PM,6.56,7.65,5.56,Y
2025-10-20,Gamma Advisory Fund,PNL003,Equities,2025-10-20 08:00:00,2025-10-20 09:15:00,Complete,Complete,2025-10-20 11:30:00,Mike Chen,1,5.67,10:30:00,Calypso,2025-10-20 05:00:00,05:00:00,Y,sign_off_delayed,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,1:30:00 PM,2:46:00 PM,12:46:00 PM,2:40:00 PM,3:39:00 PM,2:00:00 PM,3.31,4.06,2.33,N
2025-10-20,Delta CMBS Portfolio,PNL004,Securitized Products,2025-10-20 05:30:00,2025-10-20 06:00:00,Complete,Complete,2025-10-20 07:45:00,Rachel Kim,1,3.57,11:30:00,Intex,2025-10-20 06:55:00,06:30:00,N,feed_delayed_recovered,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,1:49:00 PM,2:25:00 PM,12:19:00 PM,3:12:00 PM,4:17:00 PM,2:19:00 PM,2.81,3.94,1.46,N
2025-10-20,Epsilon RMBS Trust,PNL005,Securitized Products,2025-10-20 09:15:00,2025-10-20 10:30:00,Complete,Complete,2025-10-20 14:30:00,David Park,2,3.41,11:30:00,Bloomberg,2025-10-20 05:58:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Bloomberg B-PIPE,EMEA,SYEY-10005,BK-SP-002,2:11:00 PM,2:39:00 PM,12:44:00 PM,4:38:00 PM,5:38:00 PM,3:44:00 PM,1.93,3.15,1.25,N
2025-11-03,Alpha Conduit Revenue,PNL001,Rates Trading,2025-11-03 06:00:00,2025-11-03 06:45:00,Complete,Complete,2025-11-03 09:00:00,John Smith,1,2.13,10:00:00,Reuters,2025-11-03 04:45:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Reuters Datascope,NAM,SYEY-10001,BK-RT-001,2:38:00 PM,3:25:00 PM,1:58:00 PM,4:20:00 PM,4:43:00 PM,3:10:00 PM,2.74,3.83,1.78,N
2025-11-03,Beta Trading Book,PNL002,Credit Trading,2025-11-03 07:30:00,2025-11-03 08:30:00,Complete,Complete,2025-11-03 11:00:00,Sarah Lee,1,2.94,11:00:00,Murex,2025-11-03 07:42:00,06:00:00,N,feed_delayed_recovered,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,1:46:00 PM,3:06:00 PM,12:22:00 PM,4:41:00 PM,5:56:00 PM,4:09:00 PM,1.53,2.73,0.5,N
2025-11-03,Gamma Advisory Fund,PNL003,Equities,2025-11-03 08:30:00,2025-11-03 09:45:00,Complete,Pending,2025-11-03 12:30:00,Mike Chen,2,5.91,10:30:00,Fidessa,2025-11-03 04:01:00,05:00:00,Y,sign_off_delayed,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,4:56:00 PM,5:37:00 PM,3:54:00 PM,7:17:00 PM,8:00:00 PM,6:53:00 PM,5.77,8.01,4.09,Y
2025-11-03,Delta CMBS Portfolio,PNL004,Securitized Products,2025-11-03 05:30:00,2025-11-03 06:15:00,Complete,Complete,2025-11-03 07:30:00,Rachel Kim,1,3.56,11:30:00,Intex,2025-11-03 06:21:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,2:28:00 PM,2:46:00 PM,1:32:00 PM,3:49:00 PM,4:42:00 PM,3:22:00 PM,4.89,7.34,4.37,N
2025-11-03,Epsilon RMBS Trust,PNL005,Securitized Products,2025-11-03 09:00:00,2025-11-03 10:00:00,Complete,Complete,2025-11-03 13:30:00,David Park,1,3.33,11:30:00,Intex,2025-11-03 08:23:00,06:30:00,N,feed_delayed_recovered,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,3:58:00 PM,4:44:00 PM,2:32:00 PM,6:07:00 PM,6:56:00 PM,5:05:00 PM,2.35,3.28,1.48,N
2025-11-10,Alpha Conduit Revenue,PNL001,Rates Trading,2025-11-10 06:15:00,2025-11-10 07:00:00,Complete,Complete,2025-11-10 09:15:00,John Smith,1,1.95,10:00:00,Reuters,2025-11-10 07:28:00,05:30:00,N,feed_delayed_recovered,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Reuters Datascope,NAM,SYEY-10001,BK-RT-001,4:00:00 PM,4:27:00 PM,3:02:00 PM,6:13:00 PM,6:54:00 PM,5:29:00 PM,3.18,4.6,2.73,N
2025-11-10,Beta Trading Book,PNL002,Credit Trading,2025-11-10 07:00:00,,Complete,Failed,,Sarah Lee,0,4.13,11:00:00,Bloomberg,2025-11-10 05:42:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Bloomberg B-PIPE,EMEA,SYEY-10002,BK-CT-001,3:02:00 PM,3:21:00 PM,1:59:00 PM,5:23:00 PM,5:49:00 PM,4:07:00 PM,4.27,5.73,2.87,N
2025-11-10,Gamma Advisory Fund,PNL003,Equities,2025-11-10 08:00:00,2025-11-10 09:00:00,Complete,Complete,2025-11-10 11:45:00,Mike Chen,1,2.69,10:30:00,Fidessa,2025-11-10 04:33:00,05:00:00,Y,green,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,4:51:00 PM,5:46:00 PM,4:33:00 PM,7:08:00 PM,7:52:00 PM,6:16:00 PM,1.67,3.09,0.5,N
2025-11-10,Delta CMBS Portfolio,PNL004,Securitized Products,2025-11-10 06:00:00,2025-11-10 06:30:00,Complete,Complete,2025-11-10 08:00:00,Rachel Kim,1,2.24,11:30:00,Bloomberg,2025-11-10 05:17:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Bloomberg B-PIPE,NAM,SYEY-10004,BK-SP-001,4:39:00 PM,5:35:00 PM,4:20:00 PM,7:07:00 PM,7:42:00 PM,6:06:00 PM,2.79,4.98,1.05,N
2025-11-10,Epsilon RMBS Trust,PNL005,Securitized Products,2025-11-10 09:30:00,2025-11-10 10:45:00,Complete,Complete,2025-11-10 14:00:00,David Park,1,3.69,11:30:00,Bloomberg,2025-11-10 07:39:00,06:30:00,N,feed_delayed_recovered,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Bloomberg B-PIPE,EMEA,SYEY-10005,BK-SP-002,2:20:00 PM,3:42:00 PM,12:53:00 PM,4:14:00 PM,5:05:00 PM,2:53:00 PM,6.69,8.46,4.9,Y
2025-11-17,Alpha Conduit Revenue,PNL001,Rates Trading,2025-11-17 06:30:00,2025-11-17 07:15:00,Complete,Complete,2025-11-17 09:30:00,John Smith,1,3.03,10:00:00,Bloomberg,2025-11-17 04:17:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,2:37:00 PM,3:33:00 PM,1:32:00 PM,4:47:00 PM,5:48:00 PM,4:22:00 PM,5.23,6.69,4,Y
2025-11-17,Beta Trading Book,PNL002,Credit Trading,2025-11-17 07:15:00,2025-11-17 08:00:00,Complete,Complete,2025-11-17 10:30:00,Sarah Lee,1,1.46,11:00:00,Murex,2025-11-17 06:29:00,06:00:00,N,feed_delayed_recovered,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,1:21:00 PM,2:09:00 PM,11:52:00 AM,4:17:00 PM,5:02:00 PM,3:37:00 PM,4.24,6.68,3.2,N
2025-11-17,Gamma Advisory Fund,PNL003,Equities,2025-11-17 08:15:00,2025-11-17 09:30:00,Complete,Complete,2025-11-17 12:00:00,Mike Chen,1,2.79,10:30:00,Fidessa,2025-11-17 06:09:00,05:00:00,N,feed_delayed_recovered,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,1:17:00 PM,2:41:00 PM,12:14:00 PM,4:07:00 PM,5:18:00 PM,2:48:00 PM,4.21,5.46,3.39,N
2025-11-17,Delta CMBS Portfolio,PNL004,Securitized Products,2025-11-17 05:45:00,2025-11-17 06:15:00,Complete,Complete,2025-11-17 07:45:00,Rachel Kim,1,3.09,11:30:00,Intex,2025-11-17 05:59:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,2:00:00 PM,2:47:00 PM,12:50:00 PM,4:26:00 PM,4:59:00 PM,3:39:00 PM,3.12,3.73,2.32,N
2025-11-17,Epsilon RMBS Trust,PNL005,Securitized Products,2025-11-17 09:00:00,2025-11-17 10:15:00,Complete,Complete,2025-11-17 13:45:00,David Park,1,3.05,11:30:00,Bloomberg,2025-11-17 06:59:00,06:30:00,N,feed_delayed_recovered,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Bloomberg B-PIPE,EMEA,SYEY-10005,BK-SP-002,4:14:00 PM,4:49:00 PM,3:43:00 PM,6:33:00 PM,7:06:00 PM,5:50:00 PM,3.62,5.11,1.96,N
2025-12-01,Alpha Conduit Revenue,PNL001,Rates Trading,2025-12-01 06:45:00,2025-12-01 07:30:00,Complete,Complete,2025-12-01 10:00:00,John Smith,1,1.33,10:00:00,Reuters,2025-12-01 06:28:00,05:30:00,N,feed_delayed_recovered,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Reuters Datascope,NAM,SYEY-10001,BK-RT-001,2:28:00 PM,2:53:00 PM,1:33:00 PM,4:15:00 PM,5:00:00 PM,2:50:00 PM,3.62,4.36,2.29,N
2025-12-01,Beta Trading Book,PNL002,Credit Trading,2025-12-01 07:30:00,2025-12-01 08:15:00,Complete,Complete,2025-12-01 11:00:00,Sarah Lee,1,4.36,11:00:00,Bloomberg,2025-12-01 04:30:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Bloomberg B-PIPE,EMEA,SYEY-10002,BK-CT-001,4:23:00 PM,5:17:00 PM,4:07:00 PM,6:57:00 PM,7:41:00 PM,6:33:00 PM,5.43,6.46,3.95,Y
2025-12-01,Gamma Advisory Fund,PNL003,Equities,2025-12-01 08:00:00,2025-12-01 09:00:00,Complete,Complete,2025-12-01 11:30:00,Mike Chen,1,6.71,10:30:00,Calypso,2025-12-01 06:52:00,05:00:00,N,critical,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,3:44:00 PM,4:14:00 PM,3:25:00 PM,6:08:00 PM,7:20:00 PM,5:46:00 PM,6.42,7,5.66,Y
2025-12-01,Delta CMBS Portfolio,PNL004,Securitized Products,2025-12-01 05:30:00,2025-12-01 06:00:00,Complete,Complete,2025-12-01 07:30:00,Rachel Kim,1,9.37,11:30:00,Intex,2025-12-01 07:23:00,06:30:00,N,critical,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,4:57:00 PM,5:33:00 PM,3:47:00 PM,6:31:00 PM,7:26:00 PM,5:26:00 PM,3.37,4.88,1.76,N
2025-12-01,Epsilon RMBS Trust,PNL005,Securitized Products,2025-12-01 09:15:00,2025-12-01 10:30:00,Complete,Complete,2025-12-01 14:15:00,David Park,1,3.12,11:30:00,Intex,2025-12-01 05:20:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,2:05:00 PM,3:11:00 PM,1:24:00 PM,4:03:00 PM,4:56:00 PM,3:23:00 PM,2.87,4.54,1.55,N
2025-12-08,Alpha Conduit Revenue,PNL001,Rates Trading,2025-12-08 06:00:00,2025-12-08 06:45:00,Complete,Complete,2025-12-08 09:00:00,John Smith,1,5.55,10:00:00,Reuters,2025-12-08 05:02:00,05:30:00,Y,sign_off_delayed,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Reuters Datascope,NAM,SYEY-10001,BK-RT-001,2:43:00 PM,3:22:00 PM,2:18:00 PM,4:36:00 PM,5:48:00 PM,3:09:00 PM,4.14,6.39,3.1,N
2025-12-08,Beta Trading Book,PNL002,Credit Trading,2025-12-08 07:00:00,2025-12-08 08:00:00,Complete,Complete,2025-12-08 10:30:00,Sarah Lee,1,7.23,11:00:00,Murex,2025-12-08 07:58:00,06:00:00,N,critical,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,4:45:00 PM,5:41:00 PM,4:15:00 PM,7:14:00 PM,7:56:00 PM,6:25:00 PM,7.23,8.76,6.92,Y
2025-12-08,Gamma Advisory Fund,PNL003,Equities,,,,Failed,,,0,4.34,10:30:00,Calypso,2025-12-08 04:42:00,05:00:00,Y,green,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,4:00:00 PM,5:07:00 PM,2:50:00 PM,5:41:00 PM,6:30:00 PM,4:43:00 PM,1.98,3.12,0.5,N
2025-12-08,Delta CMBS Portfolio,PNL004,Securitized Products,2025-12-08 05:45:00,2025-12-08 06:30:00,Complete,Complete,2025-12-08 08:00:00,Rachel Kim,1,1.21,11:30:00,Intex,2025-12-08 08:29:00,06:30:00,N,feed_delayed_recovered,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,1:45:00 PM,2:13:00 PM,12:29:00 PM,3:28:00 PM,4:46:00 PM,2:02:00 PM,2.24,4.22,0.81,N
2025-12-08,Epsilon RMBS Trust,PNL005,Securitized Products,2025-12-08 09:30:00,2025-12-08 10:45:00,Complete,Complete,2025-12-08 14:00:00,David Park,2,4.34,11:30:00,Intex,2025-12-08 06:00:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,3:14:00 PM,4:27:00 PM,1:59:00 PM,5:56:00 PM,6:39:00 PM,5:36:00 PM,2.73,3.89,1.98,N
2025-12-15,Alpha Conduit Revenue,PNL001,Rates Trading,2025-12-15 06:30:00,2025-12-15 07:15:00,Complete,Complete,2025-12-15 09:45:00,John Smith,1,2.77,10:00:00,Bloomberg,2025-12-15 05:17:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,3:29:00 PM,4:42:00 PM,2:54:00 PM,5:44:00 PM,7:00:00 PM,5:27:00 PM,2.62,4.48,0.97,N
2025-12-15,Beta Trading Book,PNL002,Credit Trading,2025-12-15 07:15:00,2025-12-15 08:15:00,Complete,Complete,2025-12-15 10:45:00,Sarah Lee,1,8.92,11:00:00,Murex,2025-12-15 07:51:00,06:00:00,N,critical,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,2:04:00 PM,2:43:00 PM,12:37:00 PM,4:32:00 PM,5:17:00 PM,3:41:00 PM,6.32,8.58,5.02,Y
2025-12-15,Gamma Advisory Fund,PNL003,Equities,2025-12-15 08:30:00,2025-12-15 09:30:00,Complete,Complete,2025-12-15 12:15:00,Mike Chen,1,3.99,10:30:00,Fidessa,2025-12-15 06:06:00,05:00:00,N,feed_delayed_recovered,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,4:00:00 PM,4:39:00 PM,3:44:00 PM,5:02:00 PM,5:33:00 PM,4:27:00 PM,5.33,6.23,3.6,Y
2025-12-15,Delta CMBS Portfolio,PNL004,Securitized Products,2025-12-15 06:00:00,2025-12-15 06:30:00,Complete,Complete,2025-12-15 08:15:00,Rachel Kim,1,2.85,11:30:00,Intex,2025-12-15 06:06:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,4:07:00 PM,4:27:00 PM,2:40:00 PM,5:35:00 PM,6:54:00 PM,4:37:00 PM,4.59,5.92,3.53,N
2025-12-15,Epsilon RMBS Trust,PNL005,Securitized Products,2025-12-15 09:00:00,2025-12-15 10:00:00,Complete,Complete,2025-12-15 13:30:00,David Park,1,1.56,11:30:00,Intex,2025-12-15 05:43:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,2:58:00 PM,3:24:00 PM,1:37:00 PM,5:47:00 PM,6:59:00 PM,4:33:00 PM,1.62,3.18,0.5,N
2026-01-05,Alpha Conduit Revenue,PNL001,Rates Trading,2026-01-05 06:15:00,2026-01-05 07:00:00,Complete,Complete,2026-01-05 09:30:00,John Smith,1,5.68,10:00:00,Bloomberg,2026-01-05 04:00:00,05:30:00,Y,sign_off_delayed,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,4:57:00 PM,5:27:00 PM,3:33:00 PM,7:30:00 PM,8:00:00 PM,6:13:00 PM,6.08,7.02,5.66,Y
2026-01-05,Beta Trading Book,PNL002,Credit Trading,2026-01-05 07:30:00,2026-01-05 08:30:00,Complete,Complete,2026-01-05 11:00:00,Sarah Lee,1,4.08,11:00:00,Murex,2026-01-05 04:34:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,1:44:00 PM,3:12:00 PM,1:23:00 PM,4:38:00 PM,6:00:00 PM,3:23:00 PM,3.92,4.97,2.01,N
2026-01-05,Gamma Advisory Fund,PNL003,Equities,2026-01-05 08:00:00,2026-01-05 09:15:00,Complete,Complete,2026-01-05 12:00:00,Mike Chen,1,7.17,10:30:00,Calypso,2026-01-05 04:05:00,05:00:00,Y,sign_off_delayed,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,1:41:00 PM,2:07:00 PM,12:51:00 PM,4:26:00 PM,5:38:00 PM,4:02:00 PM,4.81,5.82,3.85,N
2026-01-05,Delta CMBS Portfolio,PNL004,Securitized Products,2026-01-05 05:30:00,2026-01-05 06:00:00,Complete,Complete,2026-01-05 07:30:00,Rachel Kim,1,6.94,11:30:00,Intex,2026-01-05 06:13:00,06:30:00,Y,sign_off_delayed,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,4:01:00 PM,4:40:00 PM,3:29:00 PM,6:02:00 PM,6:25:00 PM,5:25:00 PM,8.09,9.08,7.15,Y
2026-01-05,Epsilon RMBS Trust,PNL005,Securitized Products,2026-01-05 09:00:00,2026-01-05 10:15:00,Complete,Complete,2026-01-05 14:00:00,David Park,1,2.22,11:30:00,Intex,2026-01-05 08:28:00,06:30:00,N,feed_delayed_recovered,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,4:08:00 PM,5:02:00 PM,3:01:00 PM,5:45:00 PM,6:47:00 PM,4:59:00 PM,3.09,4.03,1.72,N
2026-01-12,Alpha Conduit Revenue,PNL001,Rates Trading,2026-01-12 06:30:00,2026-01-12 07:15:00,Complete,Complete,2026-01-12 09:45:00,John Smith,1,2.56,10:00:00,Reuters,2026-01-12 04:55:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Reuters Datascope,NAM,SYEY-10001,BK-RT-001,2:42:00 PM,4:10:00 PM,2:08:00 PM,5:07:00 PM,5:22:00 PM,3:52:00 PM,3.55,4.93,1.86,N
2026-01-12,Beta Trading Book,PNL002,Credit Trading,2026-01-12 07:00:00,2026-01-12 08:00:00,Complete,Complete,2026-01-12 10:30:00,Sarah Lee,1,3.52,11:00:00,Murex,2026-01-12 04:36:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,2:33:00 PM,3:44:00 PM,1:08:00 PM,4:11:00 PM,5:30:00 PM,3:37:00 PM,4.44,5.61,4,N
